sirena,f. Ninfa marina con busto de mujer y cuerpo de ave según la tradición grecolatina y con cuerpo de pez en otras tradiciones que extraviaba a los navegantes atrayéndolos con la dulzura de su canto U. t. en sent. fig.
hada,f. Ser fantástico que se representa bajo la forma de mujer a quien se atribuyen poderes mágicos
hagiografía,f. Historia de las vidas de los santos
entrometer,tr. entremeter. U. t. c. prnl.
labio,m. Reborde exterior carnoso y móvil de la boca de los mamíferos
cortar,tr. Dividir algo o separar sus partes con algún instrumento cortante
nasal,adj. Perteneciente o relativo a la nariz
maquillar,tr. Aplicar cosméticos a alguien o a una parte de su cuerpo especialmente su rostro para embellecer o modificar su aspecto U. t. c. prnl.
ocular,adj. Perteneciente o relativo a los ojos
traje,m. Vestido completo de una persona
ukelele,m. Instrumento musical de cuerda popularizado desde el archipiélago estadounidense de parecido a la guitarra pero de menor tamaño
bechamel,f. besamel.
soltar,tr. Desatar o desceñir
viral,adj. Perteneciente o relativo a los virus
zancada,f. Paso largo que se da con movimiento acelerado o por tener las piernas largas
manía,f. Preocupación caprichosa y a veces extravagante por un tema o cosa determinados
prolongar,tr. Alargar dilatar o extender algo a lo largo U. t. c. prnl.
investigar,tr. Indagar para descubrir algo
laboratorio,m. Lugar dotado de los medios necesarios para realizar investigaciones experimentos y trabajos de carácter científico o técnico
oxígeno,m. Elemento químico gaseoso de núm. atóm. incoloro inodoro insípido y muy reactivo presente en todos los seres vivos esencial para la respiración y para los procesos de combustión que forma parte del agua de los óxidos y de casi todos los ácidos y sustancias orgánicas y constituye casi una quinta parte del aire atmosférico en su forma molecular 2 Símb.
transportar,tr. Llevar a alguien o algo de un lugar a otro
soñador,adj. Que sueña mucho
utopía,f. Plan proyecto doctrina o sistema ideales que parecen de muy difícil realización
letra,f. Cada uno de los signos gráficos que componen el alfabeto de un idioma
cimarrón,adj. Dicho de un animal doméstico Que huye al campo y se hace montaraz
recuperar,tr. Volver a tomar o adquirir lo que antes se tenía
mentira,f. Expresión o manifestación contraria a lo que se sabe se piensa o se siente
enigma,m. Enunciado de sentido artificiosamente encubierto para que sea difícil de entender o interpretar
gotear,intr. impers. Caer gotas pequeñas de lluvia
célebre,adj. famoso conocido y admirado por su excelencia
anteojo,m. Instrumento óptico que mediante un tubo con dos lentes situadas en sus extremos amplía las imágenes de los objetos lejanos
educar,tr. Dirigir encaminar doctrinar
dignidad,f. Cualidad de digno
gradual,adj. Que está por grados o va de grado en grado
planear,tr. Trazar o formar el plan de una obra
horror,m. Sentimiento intenso causado por algo terrible y espantoso
imperio,m. Acción de imperar mandar
obstruir,tr. Estorbar el paso cerrar un conducto o camino
hombro,m. Parte superior y lateral del tronco del ser humano y de los cuadrumanos de donde nace el brazo
bicho,m. coloq. Animal pequeño especialmente un insecto
